county,green_space_acres,population,transit_accessible_sqft
Adair,16446.75,18887,
Allen,10723.99,20773,
Anderson,2304.84,23839,
Ballard,18276.23,7742,
Barren,21335.42,44511,
Bath,23732.4,12739,
Bell,33846.79,24248,
Boone,3607.05,136150,
Bourbon,132.42,20228,
Boyd,591.35,48242,
Boyle,1795.5,30613,
Bracken,250.09,8420,
Breathitt,2351.27,13580,
Breckinridge,9695.7,20528,
Bullitt,3488.06,82482,
Butler,395.47,12365,
Caldwell,4181.76,12635,
Calloway,6078.17,37345,
Campbell,1835.96,93122,
Carlisle,4689.18,4782,
Carroll,632.3,10842,
Carter,15421.21,26671,
Casey,11.68,15942,
Christian,14799.43,72766,
Clark,1058.37,36897,
Clay,85589.58,20322,
Clinton,21274.91,9295,
Crittenden,5038.7,8979,
Cumberland,10455.45,5974,
Daviess,1566.45,102916,
Edmonson,57044.22,12179,
Elliott,2180.33,7378,
Estill,6417.4,14138,
Fayette,5839.01,321276,3308533.0
Fleming,5470.64,15111,
Floyd,7496.29,35780,
Franklin,2359.41,51475,
Fulton,2184.32,6480,
Gallatin,469.77,8720,
Garrard,1814.45,17175,
Grant,1514.13,25085,
Graves,2241.19,36701,
Grayson,10460.13,26465,
Green,956.99,11198,
Greenup,4494.17,35853,
Hancock,512.37,9058,
Hardin,1764.57,111005,
Harlan,31250.52,26589,
Harrison,1246.51,18803,
Hart,12202.26,19345,
Henderson,10158.55,44770,
Henry,2678.69,15731,
Hickman,6181.47,4491,
Hopkins,8622.86,45223,
Jackson,73554.79,13002,
Jefferson,15597.32,779232,
Jessamine,2170.59,53381,
Johnson,8396.89,22631,
Kenton,2596.81,169066,
Knott,8183.75,14282,
Knox,959.87,30207,
Larue,2582.54,14902,
Laurel,72774.65,62442,
Lawrence,35182.43,16228,
Lee,12696.3,7338,
Leslie,109754.11,10468,
Letcher,9932.69,21490,
Lewis,1348.75,13063,
Lincoln,1870.32,24320,
Livingston,6441.72,8980,
Logan,808.86,27498,
Lyon,68619.58,8721,
Madison,2700.62,92955,
Magoffin,199.31,11647,
Marion,1422.45,19627,
Marshall,6751.47,31706,
Martin,20.69,11298,
Mason,1539.0,17068,
McCracken,2561.56,67573,
McCreary,199982.01,16892,
McLean,238.97,9173,
Meade,2428.96,29964,
Menifee,50846.86,6174,
Mercer,3185.63,22662,
Metcalfe,1728.54,10313,
Monroe,187.52,11331,
Montgomery,99.3,28188,
Morgan,18421.89,13840,
Muhlenberg,21328.74,30735,
Nelson,2245.64,46779,
Nicholas,7301.3,7613,
Ohio,17589.66,23782,
Oldham,433.11,67997,
Owen,7328.48,11229,
Owsley,16383.78,4054,
Pendleton,1506.14,14638,
Perry,3591.29,28136,
Pike,17479.34,58196,
Powell,20723.79,13089,
Pulaski,76426.7,65145,
Robertson,497.0,2207,
Rockcastle,18112.89,16171,
Rowan,63456.03,24551,
Russell,54966.25,18021,
Scott,3349.06,57286,
Shelby,682.39,48105,
Simpson,171.8,19574,
Spencer,9211.79,19549,
Taylor,18207.87,26056,
Todd,235.06,12281,
Trigg,95372.9,14154,
Trimble,34.18,8510,
Union,13934.79,13495,
Warren,2332.56,135307,
Washington,286.56,12025,
Wayne,47486.08,19666,
Webster,468.45,12951,
Whitley,47543.12,36648,
Wolfe,17313.28,6573,
Woodford,410.85,26886,
